"dates","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
1996-10-12,0,32,4,0,2,0,9,4,0,9,0,0,0,0,3,0,0,0,0,0,0
1996-11-16,0,34,5,0,3,0,6,2,2,9,0,0,0,1,0,0,1,0,0,0,0
1996-12-18,0,38,7,0,0,0,6,4,0,3,0,0,0,2,0,0,2,0,0,0,0
1997-02-08,0,63,11,0,0,0,9,6,1,6,0,0,1,4,0,0,7,0,0,0,0
1997-03-15,0,72,13,0,1,0,11,4,2,12,0,0,0,3,6,0,9,0,0,0,0
1997-04-12,0,47,9,0,0,2,11,2,1,7,0,0,0,6,25,0,10,0,0,0,0
1997-05-10,0,37,14,0,6,0,17,4,1,4,0,0,0,7,15,0,1,0,0,0,2
1997-06-09,0,46,11,0,4,0,15,7,1,6,0,0,0,7,18,0,0,0,0,0,0
1997-07-09,0,41,16,1,1,0,10,9,0,7,0,0,0,7,24,0,0,0,0,0,0
1997-07-29,0,36,11,1,5,0,10,6,0,6,0,0,0,1,17,0,1,0,0,2,0
1997-09-27,0,30,10,1,5,0,16,8,0,3,0,0,0,5,3,0,1,0,0,0,0
1997-10-25,0,38,6,1,5,0,10,7,0,1,0,0,0,5,0,0,0,0,0,0,0
1997-11-22,0,42,8,1,2,0,13,6,1,0,0,0,0,0,0,0,2,0,0,0,0
1997-12-28,0,34,6,1,2,0,13,3,1,0,0,0,0,0,0,0,1,0,0,0,0
1998-01-31,0,51,8,1,1,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-03-01,0,45,13,1,1,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-03-29,0,62,0,0,2,0,4,6,0,0,0,0,0,0,6,0,0,0,0,0,0
1998-05-02,0,32,2,0,2,0,6,3,0,0,0,0,0,0,7,0,0,0,0,0,0
1998-05-28,0,53,6,0,6,0,4,1,1,1,0,0,0,2,10,0,0,0,0,0,0
1998-06-27,0,28,5,1,4,0,6,1,1,0,0,0,0,0,13,0,0,0,0,0,0
1998-07-18,0,27,3,1,0,0,6,10,0,0,0,0,0,0,16,0,0,0,0,0,0
1998-08-22,0,24,4,0,2,0,5,10,0,1,0,0,0,1,16,0,0,0,0,0,0
1998-09-19,0,27,8,1,3,0,7,9,0,0,0,0,0,0,18,0,0,0,0,0,0
1998-10-24,0,31,7,1,1,0,10,9,0,0,0,0,0,2,2,0,0,0,0,0,0
1998-11-21,0,40,10,1,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-12-22,0,40,4,1,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-01-16,0,38,8,1,2,0,11,4,1,0,0,0,0,0,0,0,1,0,0,0,0
1999-02-20,0,37,7,1,1,0,6,6,0,0,0,0,0,3,0,0,1,0,0,0,0
1999-03-14,0,35,8,1,2,0,5,6,0,0,0,0,0,2,0,0,1,0,0,0,0
1999-04-17,0,39,12,2,2,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0
1999-05-15,0,27,10,1,2,0,5,8,0,0,0,0,0,2,5,0,0,0,0,0,0
1999-06-12,0,22,8,1,1,0,3,5,0,0,0,0,0,0,6,0,0,0,0,0,0
1999-09-11,0,2,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
1999-10-09,0,12,4,0,1,0,2,3,0,0,0,0,0,0,15,0,0,0,0,0,0
1999-11-06,0,14,2,0,1,0,6,7,0,0,0,0,0,0,23,0,0,0,0,1,0
1999-12-05,0,6,3,0,2,0,2,10,0,0,0,0,0,0,17,0,1,0,0,0,0
2000-01-08,0,12,9,0,3,0,2,15,0,0,0,0,0,0,13,0,0,0,0,1,0
2000-02-05,0,12,8,0,3,0,2,28,0,0,0,0,0,0,16,0,0,0,0,0,0
2000-03-04,0,17,5,0,1,0,6,21,0,0,0,0,0,0,22,0,1,0,0,0,0
2000-04-29,0,16,11,0,1,0,6,19,0,0,0,0,0,0,13,0,0,0,0,1,0
2000-06-03,0,15,10,0,2,0,2,20,0,0,0,0,0,0,25,0,0,0,0,2,0
2000-07-01,0,14,5,0,0,0,6,28,0,0,0,0,0,0,32,0,0,0,0,0,0
2000-07-22,0,14,3,0,2,0,0,29,0,0,0,0,0,0,18,0,0,0,0,2,0
2000-08-25,0,19,3,0,1,0,10,25,0,0,0,0,0,0,27,0,0,0,0,0,0
2000-09-30,0,23,4,0,1,0,11,18,0,0,0,0,0,0,6,0,0,0,0,0,0
2000-11-25,0,20,4,0,3,0,13,10,1,0,0,0,0,0,1,0,1,0,0,0,0
2000-12-22,0,15,3,0,2,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-01-21,0,19,1,0,2,0,7,8,0,0,0,0,0,0,0,0,1,0,0,0,0
2001-03-03,0,14,0,0,0,0,4,9,0,0,0,0,0,0,2,0,1,0,0,0,0
2001-03-24,0,20,0,0,2,0,6,6,0,1,0,0,0,1,12,0,0,0,0,0,0
2001-04-21,0,20,5,0,1,0,4,2,0,2,0,0,0,1,8,0,0,0,0,0,0
2001-05-26,0,26,4,0,4,0,2,9,1,1,0,0,0,0,9,0,0,0,0,1,0
2001-06-25,0,30,4,0,6,0,0,12,0,0,0,0,0,0,22,0,0,0,0,2,0
2001-07-21,0,18,10,0,0,0,6,22,0,4,0,0,0,0,36,0,0,0,0,0,0
2001-08-25,0,25,4,0,1,0,14,23,1,2,0,0,0,0,33,0,0,0,0,0,0
2001-09-22,0,29,5,0,0,0,8,20,1,1,0,0,0,0,24,0,0,0,0,0,0
2001-10-13,0,28,10,0,2,0,18,23,1,5,0,0,0,0,12,0,0,0,0,1,0
2001-11-17,0,25,15,0,5,0,12,22,3,0,0,0,0,0,2,0,0,0,0,1,0
